ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,Class/SourceLine/0/_start,Class/SourceLine/0/_end,Class/SourceLine/0/_synthetic,SourceLine/0/_synthetic,String/1/Message,String/1/_value,String/2/Message,String/2/_value,String/3/Message,String/3/_value,String/4/Message,String/4/_value,Method/SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In OutputStreamSink.java,streamer.OutputStreamSink,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,In class streamer.OutputStreamSink,streamer.OutputStreamSink,true,streamer.OutputStreamSink,110,125,0,271,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,In method streamer.OutputStreamSink.closeStream(),streamer.OutputStreamSink,closeStream,()V,false,true,At OutputStreamSink.java:[line 116],streamer.OutputStreamSink,true,116,116,73,73,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,At OutputStreamSink.java:[line 117],streamer.OutputStreamSink,117,117,70,70,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,425970ffedfa9a0fab96054878c9ea70,0,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In OutputStreamSink.java,streamer.OutputStreamSink,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,In class streamer.OutputStreamSink,streamer.OutputStreamSink,true,streamer.OutputStreamSink,110,125,0,271,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,In method streamer.OutputStreamSink.closeStream(),streamer.OutputStreamSink,closeStream,()V,false,true,At OutputStreamSink.java:[line 122],streamer.OutputStreamSink,true,122,122,115,115,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,At OutputStreamSink.java:[line 123],streamer.OutputStreamSink,123,123,112,112,OutputStreamSink.java,streamer/OutputStreamSink.java,java/streamer/OutputStreamSink.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,425970ffedfa9a0fab96054878c9ea70,1,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In SocketWrapperImpl.java,streamer.SocketWrapperImpl,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In class streamer.SocketWrapperImpl,streamer.SocketWrapperImpl,true,streamer.SocketWrapperImpl,178,202,0,412,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In method streamer.SocketWrapperImpl.shutdown(),streamer.SocketWrapperImpl,shutdown,()V,false,true,At SocketWrapperImpl.java:[line 180],streamer.SocketWrapperImpl,true,180,180,39,39,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,At SocketWrapperImpl.java:[line 181],streamer.SocketWrapperImpl,181,181,36,36,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d87fb0c21ae14f51fbbd3050941fce95,0,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In SocketWrapperImpl.java,streamer.SocketWrapperImpl,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In class streamer.SocketWrapperImpl,streamer.SocketWrapperImpl,true,streamer.SocketWrapperImpl,178,202,0,412,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In method streamer.SocketWrapperImpl.shutdown(),streamer.SocketWrapperImpl,shutdown,()V,false,true,At SocketWrapperImpl.java:[line 186],streamer.SocketWrapperImpl,true,186,186,81,81,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,At SocketWrapperImpl.java:[line 187],streamer.SocketWrapperImpl,187,187,78,78,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d87fb0c21ae14f51fbbd3050941fce95,1,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In SocketWrapperImpl.java,streamer.SocketWrapperImpl,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In class streamer.SocketWrapperImpl,streamer.SocketWrapperImpl,true,streamer.SocketWrapperImpl,178,202,0,412,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In method streamer.SocketWrapperImpl.shutdown(),streamer.SocketWrapperImpl,shutdown,()V,false,true,At SocketWrapperImpl.java:[line 193],streamer.SocketWrapperImpl,true,193,193,127,127,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,At SocketWrapperImpl.java:[line 194],streamer.SocketWrapperImpl,194,194,124,124,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d87fb0c21ae14f51fbbd3050941fce95,2,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In SocketWrapperImpl.java,streamer.SocketWrapperImpl,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In class streamer.SocketWrapperImpl,streamer.SocketWrapperImpl,true,streamer.SocketWrapperImpl,178,202,0,412,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,In method streamer.SocketWrapperImpl.shutdown(),streamer.SocketWrapperImpl,shutdown,()V,false,true,At SocketWrapperImpl.java:[line 199],streamer.SocketWrapperImpl,true,199,199,166,166,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,At SocketWrapperImpl.java:[line 200],streamer.SocketWrapperImpl,200,200,163,163,SocketWrapperImpl.java,streamer/SocketWrapperImpl.java,java/streamer/SocketWrapperImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d87fb0c21ae14f51fbbd3050941fce95,3,3,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,252,303,0,621,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.pull(boolean),streamer.SyncLink,pull,(Z)Lstreamer/ByteBuffer;,false,true,At SyncLink.java:[line 260],streamer.SyncLink,true,260,260,119,119,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 260],streamer.SyncLink,260,260,116,116,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3b5ebdeb9673422d7b6a6e845ce00f2e,0,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,252,303,0,621,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.pull(boolean),streamer.SyncLink,pull,(Z)Lstreamer/ByteBuffer;,false,true,At SyncLink.java:[line 278],streamer.SyncLink,true,278,278,228,228,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 278],streamer.SyncLink,278,278,225,225,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3b5ebdeb9673422d7b6a6e845ce00f2e,1,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,252,303,0,621,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.pull(boolean),streamer.SyncLink,pull,(Z)Lstreamer/ByteBuffer;,false,true,At SyncLink.java:[line 297],streamer.SyncLink,true,297,297,355,355,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 297],streamer.SyncLink,297,297,352,352,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3b5ebdeb9673422d7b6a6e845ce00f2e,2,2,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,117,130,0,206,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.pushBack(ByteBuffer),streamer.SyncLink,pushBack,(Lstreamer/ByteBuffer;)V,false,true,At SyncLink.java:[line 118],streamer.SyncLink,true,118,118,43,43,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 118],streamer.SyncLink,118,118,40,40,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,623544abcf9e409ebb4293b8dfd281b5,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,366,391,0,274,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.run(),streamer.SyncLink,run,()V,false,true,At SyncLink.java:[line 373],streamer.SyncLink,true,373,373,58,58,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 373],streamer.SyncLink,373,373,55,55,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,26971f2501e4c5bbd44c73dadadb364,0,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,366,391,0,274,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.run(),streamer.SyncLink,run,()V,false,true,At SyncLink.java:[line 389],streamer.SyncLink,true,389,389,141,141,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 389],streamer.SyncLink,389,389,138,138,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,26971f2501e4c5bbd44c73dadadb364,1,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SyncLink.java,streamer.SyncLink,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In class streamer.SyncLink,streamer.SyncLink,true,streamer.SyncLink,153,206,0,574,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,In method streamer.SyncLink.sendData(ByteBuffer),streamer.SyncLink,sendData,(Lstreamer/ByteBuffer;)V,false,true,At SyncLink.java:[line 157],streamer.SyncLink,true,157,157,89,89,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,At SyncLink.java:[line 157],streamer.SyncLink,157,157,86,86,SyncLink.java,streamer/SyncLink.java,java/streamer/SyncLink.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4b17c0790e1185999e55631c586b86f8,0,2,117,,,,,,,,,,,,,
