ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/1/Message,String/1/_value,String/1/_role,SourceLine/0/_synthetic,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In EvictDefinition.java,alluxio.job.plan.replicate.EvictDefinition,EvictDefinition.java,alluxio/job/plan/replicate/EvictDefinition.java,main\java\alluxio\job\plan\replicate\EvictDefinition.java,In class alluxio.job.plan.replicate.EvictDefinition,alluxio.job.plan.replicate.EvictDefinition,true,alluxio.job.plan.replicate.EvictDefinition,103,136,0,683,EvictDefinition.java,alluxio/job/plan/replicate/EvictDefinition.java,main\java\alluxio\job\plan\replicate\EvictDefinition.java,"In method alluxio.job.plan.replicate.EvictDefinition.runTask(EvictConfig, SerializableVoid, RunTaskContext)",alluxio.job.plan.replicate.EvictDefinition,runTask,(Lalluxio/job/plan/replicate/EvictConfig;Lalluxio/job/util/SerializableVoid;Lalluxio/job/RunTaskContext;)Lalluxio/job/util/SerializableVoid;,false,true,At EvictDefinition.java:[line 130],alluxio.job.plan.replicate.EvictDefinition,true,130,130,200,200,EvictDefinition.java,alluxio/job/plan/replicate/EvictDefinition.java,main\java\alluxio\job\plan\replicate\EvictDefinition.java,At EvictDefinition.java:[line 113],alluxio.job.plan.replicate.EvictDefinition,113,113,85,85,EvictDefinition.java,alluxio/job/plan/replicate/EvictDefinition.java,main\java\alluxio\job\plan\replicate\EvictDefinition.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1f677fd3f08944f8d2861d3e6bdb6d72,0,0,117,At EvictDefinition.java:[line 125],alluxio.job.plan.replicate.EvictDefinition,125,125,152,152,EvictDefinition.java,alluxio/job/plan/replicate/EvictDefinition.java,main\java\alluxio\job\plan\replicate\EvictDefinition.java,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ReplicateDefinition.java,alluxio.job.plan.replicate.ReplicateDefinition,ReplicateDefinition.java,alluxio/job/plan/replicate/ReplicateDefinition.java,main\java\alluxio\job\plan\replicate\ReplicateDefinition.java,In class alluxio.job.plan.replicate.ReplicateDefinition,alluxio.job.plan.replicate.ReplicateDefinition,true,alluxio.job.plan.replicate.ReplicateDefinition,98,101,0,150,ReplicateDefinition.java,alluxio/job/plan/replicate/ReplicateDefinition.java,main\java\alluxio\job\plan\replicate\ReplicateDefinition.java,"In method alluxio.job.plan.replicate.ReplicateDefinition.runTask(ReplicateConfig, SerializableVoid, RunTaskContext)",alluxio.job.plan.replicate.ReplicateDefinition,runTask,(Lalluxio/job/plan/replicate/ReplicateConfig;Lalluxio/job/util/SerializableVoid;Lalluxio/job/RunTaskContext;)Lalluxio/job/util/SerializableVoid;,false,true,At ReplicateDefinition.java:[line 100],alluxio.job.plan.replicate.ReplicateDefinition,true,100,100,56,56,ReplicateDefinition.java,alluxio/job/plan/replicate/ReplicateDefinition.java,main\java\alluxio\job\plan\replicate\ReplicateDefinition.java,At ReplicateDefinition.java:[line 100],alluxio.job.plan.replicate.ReplicateDefinition,100,100,53,53,ReplicateDefinition.java,alluxio/job/plan/replicate/ReplicateDefinition.java,main\java\alluxio\job\plan\replicate\ReplicateDefinition.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c407be7fc63b4304c48692480c58cdb6,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In WorkflowExecutionRegistry.java,alluxio.job.workflow.WorkflowExecutionRegistry,WorkflowExecutionRegistry.java,alluxio/job/workflow/WorkflowExecutionRegistry.java,main\java\alluxio\job\workflow\WorkflowExecutionRegistry.java,In class alluxio.job.workflow.WorkflowExecutionRegistry,alluxio.job.workflow.WorkflowExecutionRegistry,true,alluxio.job.workflow.WorkflowExecutionRegistry,37,46,0,241,WorkflowExecutionRegistry.java,alluxio/job/workflow/WorkflowExecutionRegistry.java,main\java\alluxio\job\workflow\WorkflowExecutionRegistry.java,In method alluxio.job.workflow.WorkflowExecutionRegistry.discoverWorkflowExecutionFactories(),alluxio.job.workflow.WorkflowExecutionRegistry,discoverWorkflowExecutionFactories,()V,false,true,At WorkflowExecutionRegistry.java:[line 43],alluxio.job.workflow.WorkflowExecutionRegistry,true,43,43,97,97,WorkflowExecutionRegistry.java,alluxio/job/workflow/WorkflowExecutionRegistry.java,main\java\alluxio\job\workflow\WorkflowExecutionRegistry.java,At WorkflowExecutionRegistry.java:[line 44],alluxio.job.workflow.WorkflowExecutionRegistry,44,44,94,94,WorkflowExecutionRegistry.java,alluxio/job/workflow/WorkflowExecutionRegistry.java,main\java\alluxio\job\workflow\WorkflowExecutionRegistry.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5abce909e1cbc9490926e07ffc6e81d3,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,79,98,0,321,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In method new alluxio.master.AlluxioJobMasterProcess(JournalSystem),alluxio.master.AlluxioJobMasterProcess,<init>,(Lalluxio/master/journal/JournalSystem;)V,false,true,At AlluxioJobMasterProcess.java:[line 95],alluxio.master.AlluxioJobMasterProcess,true,95,95,141,141,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 95],alluxio.master.AlluxioJobMasterProcess,95,95,137,137,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,41687df54fc7cce44807718565949104,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,160,168,0,153,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In method alluxio.master.AlluxioJobMasterProcess.startMaster(boolean),alluxio.master.AlluxioJobMasterProcess,startMaster,(Z)V,false,true,At AlluxioJobMasterProcess.java:[line 165],alluxio.master.AlluxioJobMasterProcess,true,165,165,31,31,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 165],alluxio.master.AlluxioJobMasterProcess,165,165,27,27,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7ff89b1be5f399701163acfe434ce7f0,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,180,190,0,174,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,"In method alluxio.master.AlluxioJobMasterProcess.startServing(String, String)",alluxio.master.AlluxioJobMasterProcess,startServing,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At AlluxioJobMasterProcess.java:[line 180],alluxio.master.AlluxioJobMasterProcess,true,180,180,25,25,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 180],alluxio.master.AlluxioJobMasterProcess,180,180,21,21,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c6a867fbbd33152f9b636913aa67e535,0,1,117,,,,,,,,,,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,180,190,0,174,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,"In method alluxio.master.AlluxioJobMasterProcess.startServing(String, String)",alluxio.master.AlluxioJobMasterProcess,startServing,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At AlluxioJobMasterProcess.java:[line 183],alluxio.master.AlluxioJobMasterProcess,true,183,183,73,73,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 183],alluxio.master.AlluxioJobMasterProcess,183,183,69,69,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c6a867fbbd33152f9b636913aa67e535,1,1,117,,,,,,,,,,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,206,226,0,276,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In method alluxio.master.AlluxioJobMasterProcess.startServingRPCServer(),alluxio.master.AlluxioJobMasterProcess,startServingRPCServer,()V,false,true,At AlluxioJobMasterProcess.java:[line 207],alluxio.master.AlluxioJobMasterProcess,true,207,207,13,13,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 207],alluxio.master.AlluxioJobMasterProcess,207,207,10,10,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d8c3b07154bd48668f841c5c3a37147,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,206,226,0,276,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In method alluxio.master.AlluxioJobMasterProcess.startServingRPCServer(),alluxio.master.AlluxioJobMasterProcess,startServingRPCServer,()V,false,true,At AlluxioJobMasterProcess.java:[line 219],alluxio.master.AlluxioJobMasterProcess,true,219,219,110,110,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 219],alluxio.master.AlluxioJobMasterProcess,219,219,107,107,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d8c3b07154bd48668f841c5c3a37147,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,172,177,0,122,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In method alluxio.master.AlluxioJobMasterProcess.stopMaster(),alluxio.master.AlluxioJobMasterProcess,stopMaster,()V,false,true,At AlluxioJobMasterProcess.java:[line 174],alluxio.master.AlluxioJobMasterProcess,true,174,174,19,19,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 174],alluxio.master.AlluxioJobMasterProcess,174,174,15,15,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d307f9afbb1733d31a32a7229aef6a4d,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AlluxioJobMasterProcess.java,alluxio.master.AlluxioJobMasterProcess,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In class alluxio.master.AlluxioJobMasterProcess,alluxio.master.AlluxioJobMasterProcess,true,alluxio.master.AlluxioJobMasterProcess,229,239,0,141,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,In method alluxio.master.AlluxioJobMasterProcess.stopServing(),alluxio.master.AlluxioJobMasterProcess,stopServing,()V,false,true,At AlluxioJobMasterProcess.java:[line 230],alluxio.master.AlluxioJobMasterProcess,true,230,230,17,17,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,At AlluxioJobMasterProcess.java:[line 230],alluxio.master.AlluxioJobMasterProcess,230,230,14,14,AlluxioJobMasterProcess.java,alluxio/master/AlluxioJobMasterProcess.java,main\java\alluxio\master\AlluxioJobMasterProcess.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4377169702c7ba65bcd7ab902607cbea,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,alluxio.master.AlluxioJobMasterRestServiceHandler.alluxio.master.AlluxioJobMasterRestServiceHandler.getInfo(Boolean) is a REST Web Service endpoint,In AlluxioJobMasterRestServiceHandler.java,alluxio.master.AlluxioJobMasterRestServiceHandler,AlluxioJobMasterRestServiceHandler.java,alluxio/master/AlluxioJobMasterRestServiceHandler.java,main\java\alluxio\master\AlluxioJobMasterRestServiceHandler.java,In class alluxio.master.AlluxioJobMasterRestServiceHandler,alluxio.master.AlluxioJobMasterRestServiceHandler,true,alluxio.master.AlluxioJobMasterRestServiceHandler,78,78,0,73,AlluxioJobMasterRestServiceHandler.java,alluxio/master/AlluxioJobMasterRestServiceHandler.java,main\java\alluxio\master\AlluxioJobMasterRestServiceHandler.java,In method alluxio.master.AlluxioJobMasterRestServiceHandler.getInfo(Boolean),alluxio.master.AlluxioJobMasterRestServiceHandler,getInfo,(Ljava/lang/Boolean;)Ljavax/ws/rs/core/Response;,false,true,At AlluxioJobMasterRestServiceHandler.java:[line 78],alluxio.master.AlluxioJobMasterRestServiceHandler,,78,78,0,73,AlluxioJobMasterRestServiceHandler.java,alluxio/master/AlluxioJobMasterRestServiceHandler.java,main\java\alluxio\master\AlluxioJobMasterRestServiceHandler.java,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,d23890de6acfa9541b8b879de2aa3ca4,0,0,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In FaultTolerantAlluxioJobMasterProcess.java,alluxio.master.FaultTolerantAlluxioJobMasterProcess,FaultTolerantAlluxioJobMasterProcess.java,alluxio/master/FaultTolerantAlluxioJobMasterProcess.java,main\java\alluxio\master\FaultTolerantAlluxioJobMasterProcess.java,In class alluxio.master.FaultTolerantAlluxioJobMasterProcess,alluxio.master.FaultTolerantAlluxioJobMasterProcess,true,alluxio.master.FaultTolerantAlluxioJobMasterProcess,56,91,0,416,FaultTolerantAlluxioJobMasterProcess.java,alluxio/master/FaultTolerantAlluxioJobMasterProcess.java,main\java\alluxio\master\FaultTolerantAlluxioJobMasterProcess.java,In method alluxio.master.FaultTolerantAlluxioJobMasterProcess.start(),alluxio.master.FaultTolerantAlluxioJobMasterProcess,start,()V,false,true,At FaultTolerantAlluxioJobMasterProcess.java:[line 60],alluxio.master.FaultTolerantAlluxioJobMasterProcess,true,60,60,34,34,FaultTolerantAlluxioJobMasterProcess.java,alluxio/master/FaultTolerantAlluxioJobMasterProcess.java,main\java\alluxio\master\FaultTolerantAlluxioJobMasterProcess.java,At FaultTolerantAlluxioJobMasterProcess.java:[line 60],alluxio.master.FaultTolerantAlluxioJobMasterProcess,60,60,30,30,FaultTolerantAlluxioJobMasterProcess.java,alluxio/master/FaultTolerantAlluxioJobMasterProcess.java,main\java\alluxio\master\FaultTolerantAlluxioJobMasterProcess.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d2e11a3570ac96b39af1581ee213169d,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In JobMaster.java,alluxio.master.job.JobMaster,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,In class alluxio.master.job.JobMaster,alluxio.master.job.JobMaster,true,alluxio.master.job.JobMaster,350,371,0,576,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,In method alluxio.master.job.JobMaster.registerWorker(WorkerNetAddress),alluxio.master.job.JobMaster,registerWorker,(Lalluxio/wire/WorkerNetAddress;)J,false,true,At JobMaster.java:[line 355],alluxio.master.job.JobMaster,true,355,355,38,38,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,At JobMaster.java:[line 352],alluxio.master.job.JobMaster,352,352,26,26,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,238cde899cf4ceb146cd645c90293cad,0,1,117,,,,,,,,,,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In JobMaster.java,alluxio.master.job.JobMaster,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,In class alluxio.master.job.JobMaster,alluxio.master.job.JobMaster,true,alluxio.master.job.JobMaster,350,371,0,576,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,In method alluxio.master.job.JobMaster.registerWorker(WorkerNetAddress),alluxio.master.job.JobMaster,registerWorker,(Lalluxio/wire/WorkerNetAddress;)J,false,true,At JobMaster.java:[line 369],alluxio.master.job.JobMaster,true,369,369,173,173,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,At JobMaster.java:[line 352],alluxio.master.job.JobMaster,352,352,26,26,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,238cde899cf4ceb146cd645c90293cad,1,1,117,At JobMaster.java:[line 359],alluxio.master.job.JobMaster,359,359,52,52,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,Method usage not detected,not detected,Method usage,,At JobMaster.java:[line 368],alluxio.master.job.JobMaster,368,368,155,155,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In JobMaster.java,alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,In class alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,true,alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,458,489,0,988,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,In method alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor.heartbeat(),alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,heartbeat,()V,false,true,At JobMaster.java:[line 466],alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,true,466,466,109,109,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,At JobMaster.java:[line 463],alluxio.master.job.JobMaster$LostWorkerDetectionHeartbeatExecutor,463,463,61,61,JobMaster.java,alluxio/master/job/JobMaster.java,main\java\alluxio\master\job\JobMaster.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a51638e7b6529654739c6131a4f866f8,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,alluxio.master.job.JobMasterClientRestServiceHandler.alluxio.master.job.JobMasterClientRestServiceHandler.cancel(long) is a REST Web Service endpoint,In JobMasterClientRestServiceHandler.java,alluxio.master.job.JobMasterClientRestServiceHandler,JobMasterClientRestServiceHandler.java,alluxio/master/job/JobMasterClientRestServiceHandler.java,main\java\alluxio\master\job\JobMasterClientRestServiceHandler.java,In class alluxio.master.job.JobMasterClientRestServiceHandler,alluxio.master.job.JobMasterClientRestServiceHandler,true,alluxio.master.job.JobMasterClientRestServiceHandler,96,96,0,75,JobMasterClientRestServiceHandler.java,alluxio/master/job/JobMasterClientRestServiceHandler.java,main\java\alluxio\master\job\JobMasterClientRestServiceHandler.java,In method alluxio.master.job.JobMasterClientRestServiceHandler.cancel(long),alluxio.master.job.JobMasterClientRestServiceHandler,cancel,(J)Ljavax/ws/rs/core/Response;,false,true,At JobMasterClientRestServiceHandler.java:[line 96],alluxio.master.job.JobMasterClientRestServiceHandler,,96,96,0,75,JobMasterClientRestServiceHandler.java,alluxio/master/job/JobMasterClientRestServiceHandler.java,main\java\alluxio\master\job\JobMasterClientRestServiceHandler.java,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,17f39bad84ebcc9cc2f84803d4cc175b,0,0,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
