ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CopyToLocalCommand.java,alluxio.cli.fs.command.CopyToLocalCommand,CopyToLocalCommand.java,alluxio/cli/fs/command/CopyToLocalCommand.java,main\java\alluxio\cli\fs\command\CopyToLocalCommand.java,In class alluxio.cli.fs.command.CopyToLocalCommand,alluxio.cli.fs.command.CopyToLocalCommand,true,alluxio.cli.fs.command.CopyToLocalCommand,61,65,0,147,CopyToLocalCommand.java,alluxio/cli/fs/command/CopyToLocalCommand.java,main\java\alluxio\cli\fs\command\CopyToLocalCommand.java,In method alluxio.cli.fs.command.CopyToLocalCommand.run(CommandLine),alluxio.cli.fs.command.CopyToLocalCommand,run,(Lorg/apache/commons/cli/CommandLine;)I,false,true,At CopyToLocalCommand.java:[line 63],alluxio.cli.fs.command.CopyToLocalCommand,true,63,63,31,31,CopyToLocalCommand.java,alluxio/cli/fs/command/CopyToLocalCommand.java,main\java\alluxio\cli\fs\command\CopyToLocalCommand.java,At CopyToLocalCommand.java:[line 61],alluxio.cli.fs.command.CopyToLocalCommand,61,61,1,1,CopyToLocalCommand.java,alluxio/cli/fs/command/CopyToLocalCommand.java,main\java\alluxio\cli\fs\command\CopyToLocalCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,d4f82782ad06ed24be246b9c3403a5b,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,638,669,0,447,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.asyncCopyLocalPath(CpCommand$CopyThreadPoolExecutor, AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,asyncCopyLocalPath,(Lalluxio/cli/fs/command/CpCommand$CopyThreadPoolExecutor;Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 638],alluxio.cli.fs.command.CpCommand,true,638,638,8,8,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 638],alluxio.cli.fs.command.CpCommand,638,638,5,5,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,2262070086330eecd1da5172740525e4,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,762,790,0,903,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyFileToLocal(AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyFileToLocal,(Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 762],alluxio.cli.fs.command.CpCommand,true,762,762,8,8,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 762],alluxio.cli.fs.command.CpCommand,762,762,5,5,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,7ba81cc2d8c5a2f345851754025dd861,0,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,762,790,0,903,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyFileToLocal(AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyFileToLocal,(Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 767],alluxio.cli.fs.command.CpCommand,true,767,767,53,53,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 767],alluxio.cli.fs.command.CpCommand,767,767,50,50,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,7ba81cc2d8c5a2f345851754025dd861,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,762,790,0,903,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyFileToLocal(AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyFileToLocal,(Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 771],alluxio.cli.fs.command.CpCommand,true,771,771,91,91,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 771],alluxio.cli.fs.command.CpCommand,771,771,88,88,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,7ba81cc2d8c5a2f345851754025dd861,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,595,626,0,747,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyFromLocalFile(AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyFromLocalFile,(Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 595],alluxio.cli.fs.command.CpCommand,true,595,595,8,8,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 595],alluxio.cli.fs.command.CpCommand,595,595,5,5,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,5323ab13a6cd14efee07d3bf5ad77d6,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,714,751,0,685,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyToLocal(AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyToLocal,(Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 715],alluxio.cli.fs.command.CpCommand,true,715,715,19,19,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 715],alluxio.cli.fs.command.CpCommand,715,715,16,16,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,a371d2f3df45c9f80941909022855467,0,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,714,751,0,685,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyToLocal(AlluxioURI, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyToLocal,(Lalluxio/AlluxioURI;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 736],alluxio.cli.fs.command.CpCommand,true,736,736,183,183,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 736],alluxio.cli.fs.command.CpCommand,736,736,180,180,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,a371d2f3df45c9f80941909022855467,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,680,704,0,529,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyWildcardToLocal(List, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyWildcardToLocal,(Ljava/util/List;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 680],alluxio.cli.fs.command.CpCommand,true,680,680,8,8,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 680],alluxio.cli.fs.command.CpCommand,680,680,5,5,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,465798b751079a29f097a09105dc9b2,0,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,680,704,0,529,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,"In method alluxio.cli.fs.command.CpCommand.copyWildcardToLocal(List, AlluxioURI)",alluxio.cli.fs.command.CpCommand,copyWildcardToLocal,(Ljava/util/List;Lalluxio/AlluxioURI;)V,false,true,At CpCommand.java:[line 694],alluxio.cli.fs.command.CpCommand,true,694,694,162,162,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 694],alluxio.cli.fs.command.CpCommand,694,694,159,159,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,465798b751079a29f097a09105dc9b2,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CpCommand.java,alluxio.cli.fs.command.CpCommand,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand,alluxio.cli.fs.command.CpCommand,true,alluxio.cli.fs.command.CpCommand,348,423,0,1502,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In method alluxio.cli.fs.command.CpCommand.run(CommandLine),alluxio.cli.fs.command.CpCommand,run,(Lorg/apache/commons/cli/CommandLine;)I,false,true,At CpCommand.java:[line 364],alluxio.cli.fs.command.CpCommand,true,364,364,187,187,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 364],alluxio.cli.fs.command.CpCommand,364,364,184,184,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,51b085fc8d1196e387592e1c54bdbac4,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CpCommand.java,alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In class alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,true,alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,242,279,0,617,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,In method alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor.shutdown(),alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,shutdown,()V,false,true,At CpCommand.java:[line 274],alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,true,274,274,271,271,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,At CpCommand.java:[line 274],alluxio.cli.fs.command.CpCommand$CopyThreadPoolExecutor,274,274,268,268,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e57d9f6cec69a60aa8b1a19d58820bf8,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In DistributedLoadCommand.java,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,In class alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,true,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,112,124,0,184,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,In method alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt.check(),alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,check,()Lalluxio/job/wire/Status;,false,true,At DistributedLoadCommand.java:[line 120],alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,true,120,120,42,42,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b93127713778afd3855e163201f2b7dd,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In DistributedLoadCommand.java,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,In class alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,true,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,92,103,0,179,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,In method alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt.run(),alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,run,()Z,false,true,At DistributedLoadCommand.java:[line 97],alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,true,97,97,51,51,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,129d897701132a05be1c3726b8c55c1e,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In DistributedLoadCommand.java,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,In class alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,true,alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,92,103,0,179,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,In method alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt.run(),alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,run,()Z,false,true,At DistributedLoadCommand.java:[line 102],alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,true,102,102,67,67,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,At DistributedLoadCommand.java:[line 102],alluxio.cli.fs.command.DistributedLoadCommand$JobAttempt,102,102,64,64,DistributedLoadCommand.java,alluxio/cli/fs/command/DistributedLoadCommand.java,main\java\alluxio\cli\fs\command\DistributedLoadCommand.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,129d897701132a05be1c3726b8c55c1e,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In PersistCommand.java,alluxio.cli.fs.command.PersistCommand$PersistCallable,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,In class alluxio.cli.fs.command.PersistCommand$PersistCallable,alluxio.cli.fs.command.PersistCommand$PersistCallable,true,alluxio.cli.fs.command.PersistCommand$PersistCallable,213,235,0,505,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,In method alluxio.cli.fs.command.PersistCommand$PersistCallable.call(),alluxio.cli.fs.command.PersistCommand$PersistCallable,call,()Ljava/lang/Void;,false,true,At PersistCommand.java:[line 228],alluxio.cli.fs.command.PersistCommand$PersistCallable,true,228,228,166,166,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,At PersistCommand.java:[line 213],alluxio.cli.fs.command.PersistCommand$PersistCallable,213,213,4,4,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,86ddb5783b96aa659dd5ce6b5659003e,0,1,117,At PersistCommand.java:[line 216],alluxio.cli.fs.command.PersistCommand$PersistCallable,216,216,33,33,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,At PersistCommand.java:[line 226],alluxio.cli.fs.command.PersistCommand$PersistCallable,226,226,150,150,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,At PersistCommand.java:[line 233],alluxio.cli.fs.command.PersistCommand$PersistCallable,233,233,216,216,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In PersistCommand.java,alluxio.cli.fs.command.PersistCommand$PersistCallable,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,In class alluxio.cli.fs.command.PersistCommand$PersistCallable,alluxio.cli.fs.command.PersistCommand$PersistCallable,true,alluxio.cli.fs.command.PersistCommand$PersistCallable,213,235,0,505,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,In method alluxio.cli.fs.command.PersistCommand$PersistCallable.call(),alluxio.cli.fs.command.PersistCommand$PersistCallable,call,()Ljava/lang/Void;,false,true,At PersistCommand.java:[line 231],alluxio.cli.fs.command.PersistCommand$PersistCallable,true,231,231,207,207,PersistCommand.java,alluxio/cli/fs/command/PersistCommand.java,main\java\alluxio\cli\fs\command\PersistCommand.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,86ddb5783b96aa659dd5ce6b5659003e,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In RpcPortHealthCheckClient.java,alluxio.common.RpcPortHealthCheckClient,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,In class alluxio.common.RpcPortHealthCheckClient,alluxio.common.RpcPortHealthCheckClient,true,alluxio.common.RpcPortHealthCheckClient,62,75,0,255,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,In method alluxio.common.RpcPortHealthCheckClient.isServing(),alluxio.common.RpcPortHealthCheckClient,isServing,()Z,false,true,At RpcPortHealthCheckClient.java:[line 65],alluxio.common.RpcPortHealthCheckClient,true,65,65,31,31,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,At RpcPortHealthCheckClient.java:[line 65],alluxio.common.RpcPortHealthCheckClient,65,65,28,28,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,682dd0678eeda4a71b8c92b1b1857347,0,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In RpcPortHealthCheckClient.java,alluxio.common.RpcPortHealthCheckClient,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,In class alluxio.common.RpcPortHealthCheckClient,alluxio.common.RpcPortHealthCheckClient,true,alluxio.common.RpcPortHealthCheckClient,62,75,0,255,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,In method alluxio.common.RpcPortHealthCheckClient.isServing(),alluxio.common.RpcPortHealthCheckClient,isServing,()Z,false,true,At RpcPortHealthCheckClient.java:[line 67],alluxio.common.RpcPortHealthCheckClient,true,67,67,64,64,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,At RpcPortHealthCheckClient.java:[line 67],alluxio.common.RpcPortHealthCheckClient,67,67,61,61,RpcPortHealthCheckClient.java,alluxio/common/RpcPortHealthCheckClient.java,main\java\alluxio\common\RpcPortHealthCheckClient.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,682dd0678eeda4a71b8c92b1b1857347,1,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
